"ID","URL","PDF","Country","Province","Date","Completion","Trial status","Design","Blinding","Arms","COVID-19 status","Patient setting","Outcome","Treatment","Size"
"IRCT20170731035423N2","http://en.irct.ir/trial/48049",NA,"Iran","Tehran","2020-Jun","2021-Mar","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Radiographic Findings","Other",120
"IRCT20200428047228N2","http://en.irct.ir/trial/48096",NA,"Iran","Tehran","2020-Jun","2020-Jun","Completed","Randomised","Double",2,"Confirmed","ICU","Mortality","HCQ, HCQ + AZT",40
"IRCT20080901001165N60","http://en.irct.ir/trial/48102",NA,"Iran","Tehran","2020-May","2020-Jul","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Hospitalization, Fever, C-Reactive Protein","Alternative therapy, SOC",30
"IRCT20151227025726N17","http://en.irct.ir/trial/48153",NA,"Iran","Tehran","2020-May","2020-May","Completed","Randomised","Open-Label",2,"Confirmed","Hospital","Mortality","Dexamethasone + LPV/r, LPV/r",48
"IRCT20150107020592N23","http://en.irct.ir/trial/48185",NA,"Iran","Tehran","2020-May","2020-Jun","Completed","Single-Arm","Open-Label",1,"Confirmed","ICU","IL-6","Plasma based therapy",15
"IRCT20160809029275N1","http://en.irct.ir/trial/48187",NA,"Iran","Tehran","2020-May","2020-Oct","Recruiting","Randomised","Double",2,"Confirmed","Hospital",NA,"SOC, Stem cells",20
"IRCT20180608040007N2","http://en.irct.ir/trial/48218",NA,"Iran","Tehran","2020-Jun","2020-Jun","Completed","Randomised","Open-Label",2,"Suspected","Hospital","Anxiety","Alternative therapy, SOC",70
"IRCT20200517047485N1","http://en.irct.ir/trial/48226",NA,"Iran","Tehran","2020-May","2021-Apr","Recruiting","Non-Randomised","Double",2,"Confirmed","Hospital","Hospitalization, SpO2","HCQ + Atazanavir/ritonavir, HCQ + LPV/r",108
"IRCT20200519047510N1","http://en.irct.ir/trial/48292",NA,"Iran","Tehran","2020-May","2020-Jun","Completed","Non-Randomised","Open-Label",2,"Confirmed","Hospital",NA,"Alternative therapy, SOC",60
"IRCT20151227025726N18","http://en.irct.ir/trial/48312",NA,"Iran","Tehran","2020-Jun","2020-Aug","Recruiting","Randomised","Open-Label",2,"Confirmed","Hospital",NA,"Igs, LPV/r",30
"IRCT20161206031256N3","http://en.irct.ir/trial/48329",NA,"Iran","Razavi Khorasan","2020-Jun","2020-Jul","Recruiting","Randomised","Triple",4,"Confirmed","Hospital","Hospital Discharge, Blood Gas","IFN, SOC",76
"IRCT20080901001165N58","http://en.irct.ir/trial/48394",NA,"Iran","Tehran","2020-May","2020-Jun","Completed","Randomised","Open-Label",2,"Confirmed","Hospital","ICU Admission, SpO2, Shock, Hypoxemia","Plasma based therapy, SOC",100
"IRCT20160126026217N4","http://en.irct.ir/trial/48403",NA,"Iran","Tehran","2020-Jun","2020-Sep","Recruiting","Randomised","Open-Label",2,"Confirmed","Hospital","Mortality","Positioning, SOC",74
"IRCT20200422047168N2","http://en.irct.ir/trial/48444",NA,"Iran","Khuzestan","2020-May","2020-Jul","Recruiting","Randomised","Single",2,"Confirmed","Hospital","Mortality, Hospital Discharge","HCQ + LPV/r, HCQ + LPV/r + Ivermectin",60
"IRCT20200525047562N1","http://en.irct.ir/trial/48493",NA,"Iran","Tehran","2020-Jun","2020-Jul","Recruiting","Non-Randomised","Open-Label",2,"Confirmed Or Suspected","Hospital","ICU Admission, Hospitalization, Hospital Discharge","Plasma based therapy, SOC",100
"IRCT20200523047550N1","http://en.irct.ir/trial/48495",NA,"Iran","Tehran","2020-Jun","2020-May","Completed","Non-Randomised","Open-Label",2,"Confirmed Or Suspected","Outpatient",NA,"HCQ, HCQ + Umifenovir",50
"IRCT20160118026097N3","http://en.irct.ir/trial/48517",NA,"Iran","Tehran","2020-May","2020-Jun","Completed","Randomised","Open-Label",2,"Confirmed","Hospital","Mortality, Hospitalization, Organ Failure or Dysfunction (SOFA)","IFN, SOC",60
"IRCT20150107020592N24","http://en.irct.ir/trial/48534",NA,"Iran","Tehran","2020-Jun","2020-Jun","Completed","Single-Arm","Open-Label",1,"Confirmed","ICU","Hospitalization","Opiate analgesics",60
"IRCT20200504047298N1","http://en.irct.ir/trial/48640",NA,"Iran","Tehran","2020-Jun","2020-Jun","Completed","Randomised","Double",2,"Confirmed","Hospital","Hospitalization, C-Reactive Protein, Platelet Count, Erythrocyte Sedimentation Rate, Blood Pressure","Antiretrovirals, LPV/r",100
"IRCT20200518047497N2","http://en.irct.ir/trial/48644",NA,"Iran","East Azarbaijan","2020-Jun","2020-Aug","Recruiting","Randomised","Triple",2,"Confirmed","Hospital","Mortality","Alternative therapy, SOC",80
"IRCT20200607047675N1","http://en.irct.ir/trial/48700",NA,"Iran","Tehran","2020-Jun","2020-Sep","Recruiting","Randomised","Single",2,"Confirmed","Hospital","Lymphocyte Count, Platelet Count","Alternative therapy, SOC",100
"IRCT20120703010178N20","http://en.irct.ir/trial/48702",NA,"Iran","Tehran","2020-Jun","2020-Sep","Recruiting","Randomised","Open-Label",2,"Confirmed","Outpatient","Mortality, Hospitalization, IL-1","Anakinra, SOC",30
"IRCT20200412047042N1","http://en.irct.ir/trial/48749",NA,"Iran","East Azarbaijan","2020-Jun","2020-Aug","Recruiting","Randomised","Single",3,"Confirmed","Hospital","Organ Failure or Dysfunction (SOFA), Platelet Count, Coagulation Test, Bilirubin, PaO2-FiO2, Renal Outcome (Unspecified)","HCQ, HCQ + Raltagravir, HCQ + Raltagravir + IFN",60
"IRCT20150107020592N27","http://en.irct.ir/trial/48907",NA,"Iran","Tehran","2020-Jun","2020-Jun","Completed","Single-Arm","Open-Label",1,"Confirmed","ICU","Radiographic Findings","Igs",60
